M40[0.3193212148],[0.3193212148],[0.3193212148],[0.3193212148],[0.3193212148],[0.3193212148],[0.3193212148],[0.3193212148],[0.3193212148],[0.3193212148],[0.3193212148],[0.3193212148],[0.3193212148],[0.3193212148],[0.3193212148],[0.3193212148],[0.3193212148],[0.3193212148],M41[0.5752768485],[0.5752768485],[0.5752768485],[0.5752768485],[0.5752768485],[0.5752768485],[0.5752768485],[0.5752768485],[0.5752768485],[0.5752768485],[0.5752768485],[0.5752768485],[0.5752768485],[0.5752768485],[0.5752768485],[0.5752768485],[0.5752768485],[0.5752768485]
0.151992,0.101098,0.0856912,0.0761281,0.0900795,0.116233,0.0824131,0.0633612,0.0822629,0.0716205,0.0653984,0.0612371,0.0723173,0.0863371,0.0641456,0.0576473,0.0948869,0.0812564,0.166737,0.130891,0.112485,0.112008,0.112941,0.100274,0.096232,0.096606,0.0980171,0.106551,0.118734,0.134018,0.099972,0.115301,0.103745,0.108812,0.101303,0.0902803
0.154011,0.0926681,0.0793768,0.0723983,0.0852024,0.113897,0.0819232,0.0564887,0.0743211,0.0598983,0.0611427,0.0535054,0.0717641,0.0832989,0.061287,0.057573,0.0928102,0.0753173,0.174139,0.131829,0.121626,0.118312,0.121241,0.0977727,0.101042,0.101074,0.100262,0.111194,0.118343,0.138593,0.108492,0.125317,0.108701,0.11414,0.105039,0.0938965
0.161268,0.101186,0.087211,0.0727607,0.0985823,0.126844,0.0884589,0.0653792,0.0776583,0.0760274,0.0725662,0.0602236,0.0821267,0.0784723,0.0666736,0.0640657,0.0926251,0.0788037,0.18081,0.137424,0.109266,0.110513,0.113797,0.096091,0.0950811,0.09457,0.0933974,0.106323,0.115891,0.131873,0.102955,0.10922,0.107478,0.10712,0.0963941,0.090074
0.146828,0.0937611,0.0889674,0.0754905,0.0925697,0.115057,0.0887766,0.0567279,0.0822018,0.0678005,0.0579908,0.0523805,0.0762527,0.0845145,0.0633311,0.0607594,0.088958,0.0737562,0.165717,0.119166,0.100862,0.0955526,0.10786,0.0961524,0.0804234,0.0814851,0.0838921,0.100976,0.103863,0.121727,0.0885663,0.113664,0.0992465,0.100597,0.0883393,0.0796305
0.150072,0.105386,0.0917801,0.0741962,0.0973771,0.116501,0.0873588,0.0594862,0.087009,0.0804838,0.0658032,0.058028,0.0704837,0.077608,0.0651137,0.0623374,0.104901,0.0927162,0.161734,0.124206,0.110285,0.112238,0.106012,0.104289,0.0899284,0.092145,0.0958026,0.108194,0.112029,0.128075,0.103583,0.117555,0.108911,0.114286,0.0958634,0.0878375
0.136141,0.0877215,0.0812059,0.0679881,0.0913237,0.109853,0.0737111,0.0569799,0.0721525,0.0702228,0.0582557,0.0470804,0.0784875,0.082358,0.0600738,0.0539885,0.0940145,0.0818164,0.15745,0.130087,0.113561,0.112396,0.109285,0.102234,0.101555,0.0990295,0.0957025,0.111519,0.12561,0.142965,0.10905,0.118151,0.107566,0.111957,0.106617,0.0996579
0.126368,0.0876878,0.0877535,0.0717787,0.0870242,0.111545,0.0825856,0.0609562,0.076589,0.0646883,0.0623556,0.0498375,0.0717074,0.0818511,0.0542791,0.0601282,0.0830104,0.0768304,0.144439,0.124402,0.107129,0.108626,0.104876,0.0974514,0.0901025,0.091524,0.093641,0.102834,0.120323,0.135426,0.102086,0.121235,0.106041,0.107675,0.104201,0.0943071
0.129265,0.0991817,0.102501,0.080324,0.100481,0.1237,0.0927054,0.0702756,0.0904622,0.0803286,0.073698,0.0627636,0.0856454,0.090902,0.0716148,0.0602057,0.0996391,0.0834009,0.148001,0.121207,0.111832,0.112454,0.109975,0.101812,0.0899641,0.0973456,0.094853,0.109778,0.12125,0.134832,0.10491,0.119864,0.107294,0.115219,0.100325,0.0971488
0.134545,0.107461,0.0989707,0.0862283,0.101345,0.126735,0.0962151,0.0746355,0.0905078,0.0807212,0.0677762,0.0656038,0.0787679,0.0936294,0.0709396,0.0688705,0.106665,0.0912121,0.142538,0.122101,0.111729,0.113032,0.112064,0.100229,0.095053,0.0980365,0.101873,0.109574,0.119462,0.138342,0.104073,0.123694,0.109654,0.112199,0.0995437,0.0927422
0.134096,0.102005,0.0998314,0.0861273,0.0981691,0.126947,0.0910786,0.0772778,0.0844193,0.0786692,0.0673539,0.0638924,0.0825841,0.095127,0.0720793,0.0676253,0.0988682,0.0863535,0.144586,0.12993,0.119456,0.111536,0.117353,0.105848,0.0994063,0.101965,0.101076,0.119041,0.122349,0.148231,0.11361,0.129495,0.113885,0.118874,0.104965,0.100213
0.139168,0.10342,0.100744,0.0838202,0.101957,0.126638,0.0968992,0.0728016,0.0905103,0.0820647,0.071185,0.0564335,0.083696,0.0906278,0.0701736,0.0695888,0.101588,0.0884601,0.152751,0.132708,0.120111,0.120569,0.122707,0.106295,0.101712,0.103544,0.0986252,0.116276,0.131333,0.145406,0.109917,0.126848,0.119922,0.116653,0.109233,0.10427
0.14825,0.11185,0.103952,0.0903714,0.10581,0.124406,0.101991,0.0744345,0.0948478,0.0806276,0.0741278,0.0664376,0.0921165,0.0971613,0.0700309,0.0712545,0.105715,0.0883428,0.161729,0.135411,0.128084,0.125407,0.124371,0.113403,0.106042,0.104391,0.110603,0.119986,0.134959,0.149506,0.114464,0.134014,0.114246,0.122026,0.116464,0.106789
0.147749,0.105148,0.104297,0.0861917,0.10204,0.129137,0.0930682,0.0769028,0.0894108,0.0796626,0.0707112,0.0663998,0.0869054,0.0889733,0.069638,0.06704,0.104603,0.0886109,0.166473,0.138189,0.11866,0.118469,0.12481,0.109217,0.101446,0.102797,0.106957,0.120953,0.124542,0.141486,0.108695,0.134072,0.120722,0.118585,0.113517,0.102085
0.153802,0.105352,0.102495,0.0853036,0.100331,0.126092,0.0950571,0.0729384,0.0884378,0.0832041,0.0722031,0.0585388,0.0833446,0.092467,0.0702987,0.065725,0.104167,0.0891924,0.174216,0.140491,0.121981,0.122422,0.123556,0.11171,0.103009,0.106263,0.103385,0.120048,0.131138,0.148967,0.113177,0.132357,0.117218,0.120982,0.109158,0.106205
0.161692,0.107487,0.0981213,0.0858415,0.103411,0.125697,0.0927853,0.071704,0.0898401,0.077045,0.0696446,0.0574068,0.0863041,0.0896602,0.0628373,0.0638177,0.100328,0.0862368,0.183195,0.144302,0.123336,0.122425,0.122205,0.115173,0.10658,0.10601,0.109655,0.123561,0.131733,0.150468,0.114878,0.136136,0.117554,0.126666,0.114389,0.108333
0.166759,0.11347,0.101721,0.0905786,0.104183,0.130632,0.0976714,0.0734028,0.0920026,0.0839146,0.0719643,0.065549,0.0909961,0.0977764,0.0718808,0.0725765,0.106751,0.0886423,0.193428,0.150826,0.12456,0.13278,0.131532,0.11905,0.110606,0.110825,0.113414,0.124557,0.137473,0.150682,0.124813,0.141462,0.120014,0.124846,0.117284,0.112791
0.166211,0.1115,0.0985872,0.0812778,0.0975443,0.124098,0.0905957,0.0685252,0.0887792,0.0761203,0.069459,0.0615027,0.08452,0.0946664,0.0692268,0.0645803,0.0988657,0.0859263,0.196428,0.142028,0.121115,0.121394,0.124721,0.110081,0.106335,0.106496,0.107396,0.11826,0.130315,0.148678,0.122057,0.1385,0.116759,0.119898,0.111853,0.104347
0.174418,0.109548,0.0964342,0.0821727,0.0973236,0.121239,0.0897581,0.0683644,0.0850724,0.0765616,0.0625625,0.0591217,0.0786366,0.0910667,0.0627092,0.063878,0.0976368,0.0846991,0.205671,0.151681,0.1237,0.125993,0.128559,0.113985,0.107582,0.107439,0.109971,0.123781,0.134387,0.151188,0.121815,0.143032,0.116626,0.126867,0.11211,0.107167
