M40[0.3193212148],[0.3193212148],[0.3193212148],[0.3193212148],[0.3193212148],[0.3193212148],[0.3193212148],[0.3193212148],[0.3193212148],[0.3193212148],[0.3193212148],[0.3193212148],[0.3193212148],[0.3193212148],[0.3193212148],[0.3193212148],[0.3193212148],[0.3193212148]
0.151992,0.101098,0.0856912,0.0761281,0.0900795,0.116233,0.0824131,0.0633612,0.0822629,0.0716205,0.0653984,0.0612371,0.0723173,0.0863371,0.0641456,0.0576473,0.0948869,0.0812564
0.154011,0.0926681,0.0793768,0.0723983,0.0852024,0.113897,0.0819232,0.0564887,0.0743211,0.0598983,0.0611427,0.0535054,0.0717641,0.0832989,0.061287,0.057573,0.0928102,0.0753173
0.161268,0.101186,0.087211,0.0727607,0.0985823,0.126844,0.0884589,0.0653792,0.0776583,0.0760274,0.0725662,0.0602236,0.0821267,0.0784723,0.0666736,0.0640657,0.0926251,0.0788037
0.146828,0.0937611,0.0889674,0.0754905,0.0925697,0.115057,0.0887766,0.0567279,0.0822018,0.0678005,0.0579908,0.0523805,0.0762527,0.0845145,0.0633311,0.0607594,0.088958,0.0737562
0.150072,0.105386,0.0917801,0.0741962,0.0973771,0.116501,0.0873588,0.0594862,0.087009,0.0804838,0.0658032,0.058028,0.0704837,0.077608,0.0651137,0.0623374,0.104901,0.0927162
0.136141,0.0877215,0.0812059,0.0679881,0.0913237,0.109853,0.0737111,0.0569799,0.0721525,0.0702228,0.0582557,0.0470804,0.0784875,0.082358,0.0600738,0.0539885,0.0940145,0.0818164
0.126368,0.0876878,0.0877535,0.0717787,0.0870242,0.111545,0.0825856,0.0609562,0.076589,0.0646883,0.0623556,0.0498375,0.0717074,0.0818511,0.0542791,0.0601282,0.0830104,0.0768304
0.129265,0.0991817,0.102501,0.080324,0.100481,0.1237,0.0927054,0.0702756,0.0904622,0.0803286,0.073698,0.0627636,0.0856454,0.090902,0.0716148,0.0602057,0.0996391,0.0834009
0.134545,0.107461,0.0989707,0.0862283,0.101345,0.126735,0.0962151,0.0746355,0.0905078,0.0807212,0.0677762,0.0656038,0.0787679,0.0936294,0.0709396,0.0688705,0.106665,0.0912121
0.134096,0.102005,0.0998314,0.0861273,0.0981691,0.126947,0.0910786,0.0772778,0.0844193,0.0786692,0.0673539,0.0638924,0.0825841,0.095127,0.0720793,0.0676253,0.0988682,0.0863535
0.139168,0.10342,0.100744,0.0838202,0.101957,0.126638,0.0968992,0.0728016,0.0905103,0.0820647,0.071185,0.0564335,0.083696,0.0906278,0.0701736,0.0695888,0.101588,0.0884601
0.14825,0.11185,0.103952,0.0903714,0.10581,0.124406,0.101991,0.0744345,0.0948478,0.0806276,0.0741278,0.0664376,0.0921165,0.0971613,0.0700309,0.0712545,0.105715,0.0883428
0.147749,0.105148,0.104297,0.0861917,0.10204,0.129137,0.0930682,0.0769028,0.0894108,0.0796626,0.0707112,0.0663998,0.0869054,0.0889733,0.069638,0.06704,0.104603,0.0886109
0.153802,0.105352,0.102495,0.0853036,0.100331,0.126092,0.0950571,0.0729384,0.0884378,0.0832041,0.0722031,0.0585388,0.0833446,0.092467,0.0702987,0.065725,0.104167,0.0891924
0.161692,0.107487,0.0981213,0.0858415,0.103411,0.125697,0.0927853,0.071704,0.0898401,0.077045,0.0696446,0.0574068,0.0863041,0.0896602,0.0628373,0.0638177,0.100328,0.0862368
0.166759,0.11347,0.101721,0.0905786,0.104183,0.130632,0.0976714,0.0734028,0.0920026,0.0839146,0.0719643,0.065549,0.0909961,0.0977764,0.0718808,0.0725765,0.106751,0.0886423
0.166211,0.1115,0.0985872,0.0812778,0.0975443,0.124098,0.0905957,0.0685252,0.0887792,0.0761203,0.069459,0.0615027,0.08452,0.0946664,0.0692268,0.0645803,0.0988657,0.0859263
0.174418,0.109548,0.0964342,0.0821727,0.0973236,0.121239,0.0897581,0.0683644,0.0850724,0.0765616,0.0625625,0.0591217,0.0786366,0.0910667,0.0627092,0.063878,0.0976368,0.0846991
0.174401,0.104917,0.0931611,0.0795536,0.103296,0.120327,0.0874266,0.0661348,0.0870332,0.0740499,0.0652225,0.0547049,0.07961,0.0875755,0.0667677,0.0636664,0.0953954,0.0794302
0.184024,0.11143,0.0949926,0.0860156,0.0986712,0.129703,0.0897221,0.0795543,0.0866928,0.0819096,0.0705707,0.0612636,0.0880601,0.0927515,0.0641667,0.0640287,0.109495,0.0907107
0.173149,0.106098,0.0945978,0.0776763,0.095718,0.120224,0.0897463,0.0686743,0.0817898,0.0740586,0.0687616,0.0584801,0.08419,0.0905554,0.0667816,0.0641618,0.0976719,0.0831228
0.158354,0.105965,0.0932195,0.0819013,0.0959309,0.125354,0.0938144,0.0756357,0.0803004,0.0785315,0.068762,0.058475,0.0807111,0.0915792,0.0647929,0.0696958,0.0981799,0.0902728
0.148851,0.0981402,0.0903858,0.0754466,0.0929519,0.117883,0.0922086,0.0629528,0.0837035,0.0753633,0.0697777,0.0544818,0.077061,0.0846573,0.0667221,0.0664987,0.0997445,0.0817021
0.14481,0.100089,0.10214,0.0856968,0.098263,0.129996,0.0960278,0.0694414,0.0933985,0.0786411,0.0776953,0.0605525,0.0842827,0.0903544,0.072228,0.0714101,0.107959,0.0926632
0.137484,0.100766,0.0914076,0.0823472,0.102113,0.120796,0.0926747,0.0690055,0.0881345,0.0794307,0.0694103,0.0623806,0.0859392,0.0892614,0.0681173,0.0669047,0.1003,0.0866891
0.143488,0.107586,0.0987634,0.0869858,0.102589,0.125274,0.0978085,0.0730246,0.0969146,0.0837813,0.0731274,0.0648123,0.0834379,0.0979353,0.0723516,0.0697536,0.104974,0.0922385
0.14747,0.114743,0.106523,0.0907916,0.105852,0.133036,0.0992317,0.0778566,0.0967186,0.0857037,0.0714343,0.0692376,0.0911358,0.0985233,0.0763323,0.0725614,0.103258,0.0935935
0.148232,0.114652,0.109382,0.10031,0.111692,0.135279,0.103647,0.0817916,0.0954121,0.0882092,0.0806472,0.0679729,0.0936666,0.101973,0.0761991,0.0770323,0.108857,0.0968931
0.150961,0.119892,0.111681,0.0949455,0.114028,0.134158,0.104822,0.0794592,0.100205,0.0910964,0.0794183,0.0706707,0.0939576,0.0984673,0.0780957,0.0793856,0.109466,0.0964754
0.15309,0.116664,0.111875,0.0939871,0.110941,0.13639,0.103658,0.0789293,0.0972448,0.0857084,0.0791361,0.0660735,0.0894009,0.0997832,0.0794527,0.0733551,0.108295,0.0939379
0.155721,0.116354,0.102705,0.0941284,0.106309,0.133132,0.100536,0.0805734,0.0953237,0.0863807,0.0758141,0.0661962,0.0875256,0.0956504,0.0742248,0.0729317,0.106306,0.0909574
0.157516,0.113488,0.102605,0.0903263,0.105009,0.130495,0.100019,0.0757094,0.0935166,0.0849344,0.074435,0.0634366,0.0880131,0.0941251,0.0710058,0.0706759,0.103684,0.0907362
0.164269,0.119068,0.107096,0.0932558,0.108463,0.133508,0.0991855,0.0798057,0.0960105,0.0845831,0.0786715,0.0679128,0.0880476,0.0960676,0.0740888,0.0732139,0.106069,0.0931734
0.167553,0.116098,0.106575,0.0921018,0.106685,0.133167,0.0975717,0.0783478,0.0949771,0.0845989,0.0746125,0.0653504,0.0869971,0.0932805,0.073178,0.070837,0.103068,0.0911387
0.176692,0.114822,0.104754,0.0926244,0.10758,0.130084,0.0962662,0.0751705,0.0943776,0.0838883,0.0717324,0.063226,0.0878011,0.0958991,0.0720798,0.0693203,0.103817,0.0898981
0.180891,0.114625,0.100834,0.0892987,0.104369,0.130603,0.0956542,0.074924,0.0897093,0.0823178,0.071684,0.0629203,0.0851793,0.0897799,0.0689116,0.0657654,0.100739,0.0862372
0.187911,0.117691,0.107627,0.0916516,0.102904,0.135319,0.0956392,0.0761054,0.0928335,0.083696,0.0717658,0.0645861,0.0850369,0.0937758,0.0677118,0.0679674,0.101295,0.0882289
0.188546,0.114775,0.101243,0.0872744,0.103346,0.130967,0.0923267,0.0710508,0.090136,0.0833001,0.0712059,0.0598637,0.0830564,0.0919208,0.0666216,0.0613986,0.100493,0.0843629
0.185094,0.111162,0.097827,0.0853888,0.0972356,0.12249,0.0949935,0.0684975,0.0879597,0.0761932,0.0649102,0.0585564,0.0757171,0.0887561,0.0694311,0.059718,0.096876,0.0787982
0.183252,0.106211,0.0924396,0.0785193,0.0969158,0.119604,0.0877815,0.0737715,0.0842945,0.0762551,0.066182,0.0601889,0.0777594,0.0864752,0.064932,0.0624878,0.0951738,0.0844376
0.173431,0.105365,0.0918804,0.083946,0.0963674,0.128686,0.0876918,0.067795,0.0857611,0.0831058,0.0670142,0.0588826,0.0813644,0.0942021,0.0658764,0.0608785,0.100232,0.0835027
0.159638,0.11178,0.0987411,0.0854686,0.103046,0.12726,0.098196,0.0725673,0.0913735,0.0847569,0.0745586,0.0654014,0.0889411,0.0970531,0.0715313,0.0686705,0.106895,0.0901693
0.14754,0.104055,0.0970804,0.0826018,0.100919,0.126742,0.088865,0.0637523,0.0893826,0.0749909,0.0677808,0.0622373,0.0823141,0.0940261,0.0726857,0.0713992,0.106952,0.0822426
