M45 ['0.4554035906'],M45 ['0.4554035906'],M45 ['0.4554035906'],M45 ['0.4554035906'],M45 ['0.4554035906'],M45 ['0.4554035906'],M45 ['0.4554035906'],M45 ['0.4554035906'],M45 ['0.4554035906'],M45 ['0.4554035906'],M45 ['0.4554035906'],M45 ['0.4554035906'],M45 ['0.4554035906'],M45 ['0.4554035906'],M45 ['0.4554035906'],M45 ['0.4554035906'],M45 ['0.4554035906'],M45 ['0.4554035906'],"M43 ['0.5274385421,aver M40-M47=0.365207794']","M43 ['0.5274385421,aver M40-M47=0.365207794']","M43 ['0.5274385421,aver M40-M47=0.365207794']","M43 ['0.5274385421,aver M40-M47=0.365207794']","M43 ['0.5274385421,aver M40-M47=0.365207794']","M43 ['0.5274385421,aver M40-M47=0.365207794']","M43 ['0.5274385421,aver M40-M47=0.365207794']","M43 ['0.5274385421,aver M40-M47=0.365207794']","M43 ['0.5274385421,aver M40-M47=0.365207794']","M43 ['0.5274385421,aver M40-M47=0.365207794']","M43 ['0.5274385421,aver M40-M47=0.365207794']","M43 ['0.5274385421,aver M40-M47=0.365207794']","M43 ['0.5274385421,aver M40-M47=0.365207794']","M43 ['0.5274385421,aver M40-M47=0.365207794']","M43 ['0.5274385421,aver M40-M47=0.365207794']","M43 ['0.5274385421,aver M40-M47=0.365207794']","M43 ['0.5274385421,aver M40-M47=0.365207794']","M43 ['0.5274385421,aver M40-M47=0.365207794']",M40 ['0.3193212148'],M40 ['0.3193212148'],M40 ['0.3193212148'],M40 ['0.3193212148'],M40 ['0.3193212148'],M40 ['0.3193212148'],M40 ['0.3193212148'],M40 ['0.3193212148'],M40 ['0.3193212148'],M40 ['0.3193212148'],M40 ['0.3193212148'],M40 ['0.3193212148'],M40 ['0.3193212148'],M40 ['0.3193212148'],M40 ['0.3193212148'],M40 ['0.3193212148'],M40 ['0.3193212148'],M40 ['0.3193212148'],M46 ['0.1486785687'],M46 ['0.1486785687'],M46 ['0.1486785687'],M46 ['0.1486785687'],M46 ['0.1486785687'],M46 ['0.1486785687'],M46 ['0.1486785687'],M46 ['0.1486785687'],M46 ['0.1486785687'],M46 ['0.1486785687'],M46 ['0.1486785687'],M46 ['0.1486785687'],M46 ['0.1486785687'],M46 ['0.1486785687'],M46 ['0.1486785687'],M46 ['0.1486785687'],M46 ['0.1486785687'],M46 ['0.1486785687'],M44 ['0.301252185'],M44 ['0.301252185'],M44 ['0.301252185'],M44 ['0.301252185'],M44 ['0.301252185'],M44 ['0.301252185'],M44 ['0.301252185'],M44 ['0.301252185'],M44 ['0.301252185'],M44 ['0.301252185'],M44 ['0.301252185'],M44 ['0.301252185'],M44 ['0.301252185'],M44 ['0.301252185'],M44 ['0.301252185'],M44 ['0.301252185'],M44 ['0.301252185'],M44 ['0.301252185'],M41 ['0.5752768485'],M41 ['0.5752768485'],M41 ['0.5752768485'],M41 ['0.5752768485'],M41 ['0.5752768485'],M41 ['0.5752768485'],M41 ['0.5752768485'],M41 ['0.5752768485'],M41 ['0.5752768485'],M41 ['0.5752768485'],M41 ['0.5752768485'],M41 ['0.5752768485'],M41 ['0.5752768485'],M41 ['0.5752768485'],M41 ['0.5752768485'],M41 ['0.5752768485'],M41 ['0.5752768485'],M41 ['0.5752768485'],M47 ['0.377128386'],M47 ['0.377128386'],M47 ['0.377128386'],M47 ['0.377128386'],M47 ['0.377128386'],M47 ['0.377128386'],M47 ['0.377128386'],M47 ['0.377128386'],M47 ['0.377128386'],M47 ['0.377128386'],M47 ['0.377128386'],M47 ['0.377128386'],M47 ['0.377128386'],M47 ['0.377128386'],M47 ['0.377128386'],M47 ['0.377128386'],M47 ['0.377128386'],M47 ['0.377128386'],M42 ['0.2171630181'],M42 ['0.2171630181'],M42 ['0.2171630181'],M42 ['0.2171630181'],M42 ['0.2171630181'],M42 ['0.2171630181'],M42 ['0.2171630181'],M42 ['0.2171630181'],M42 ['0.2171630181'],M42 ['0.2171630181'],M42 ['0.2171630181'],M42 ['0.2171630181'],M42 ['0.2171630181'],M42 ['0.2171630181'],M42 ['0.2171630181'],M42 ['0.2171630181'],M42 ['0.2171630181'],M42 ['0.2171630181']
0.0931925,0.110114,0.106826,0.0857836,0.115431,0.0923543,0.0937697,0.0976958,0.10862,0.101246,0.103797,0.129876,0.0907427,0.113852,0.0757522,0.0937563,0.102711,0.146887,0.115049,0.0977172,0.110694,0.0916462,0.0937735,0.133225,0.118955,0.122163,0.112031,0.128783,0.110757,0.103707,0.102053,0.0911607,0.122793,0.10707,0.111759,0.108569,0.101098,0.0856912,0.0612371,0.0863371,0.0641456,0.0716205,0.0900795,0.0723173,0.0812564,0.116233,0.0824131,0.0822629,0.0948869,0.0633612,0.0576473,0.0761281,0.151992,0.0653984,0.0819371,0.100002,0.0855825,0.0843063,0.0986492,0.167093,0.105992,0.112015,0.0955719,0.140027,0.12516,0.0961601,0.0835503,0.0962545,0.0894316,0.0798627,0.0984477,0.105885,0.0599679,0.0997824,0.062837,0.0593329,0.0681724,0.0750984,0.0640425,0.0982488,0.140513,0.055653,0.0756928,0.111932,0.0850936,0.0756576,0.081726,0.0676288,0.0986448,0.0938793,0.0980171,0.106551,0.0902803,0.166737,0.112941,0.115301,0.134018,0.103745,0.101303,0.099972,0.096606,0.112485,0.130891,0.108812,0.100274,0.112008,0.096232,0.118734,0.0907195,0.100512,0.158892,0.114983,0.158399,0.102713,0.0962417,0.170193,0.0842946,0.151596,0.112863,0.115851,0.111458,0.103301,0.0799291,0.0955071,0.105349,0.107968,0.109387,0.109934,0.107246,0.104502,0.0935626,0.101582,0.0922768,0.099634,0.103371,0.140664,0.0959047,0.119955,0.0929618,0.10287,0.0911811,0.110692,0.12874,0.0980526
0.0975838,0.117621,0.107689,0.0939998,0.127926,0.100764,0.0965191,0.0968743,0.123564,0.104117,0.107529,0.129384,0.0974555,0.120229,0.0809158,0.0982938,0.111143,0.148438,0.119486,0.107538,0.116533,0.100371,0.105778,0.13328,0.124022,0.127329,0.125813,0.140019,0.114571,0.108109,0.108162,0.102383,0.124984,0.114489,0.119464,0.114616,0.0926681,0.0793768,0.0535054,0.0832989,0.061287,0.0598983,0.0852024,0.0717641,0.0753173,0.113897,0.0819232,0.0743211,0.0928102,0.0564887,0.057573,0.0723983,0.154011,0.0611427,0.0793413,0.0934399,0.0874149,0.0881496,0.100872,0.163175,0.10158,0.118713,0.0955419,0.141884,0.113609,0.0974805,0.0836686,0.0969046,0.0838988,0.0831724,0.0986716,0.095689,0.0530229,0.0973823,0.0600551,0.0564323,0.0647655,0.0733102,0.0694392,0.0955513,0.139484,0.0579675,0.0605779,0.105244,0.0777315,0.0780856,0.0806207,0.0615049,0.0927652,0.0884405,0.100262,0.111194,0.0938965,0.174139,0.121241,0.125317,0.138593,0.108701,0.105039,0.108492,0.101074,0.121626,0.131829,0.11414,0.0977727,0.118312,0.101042,0.118343,0.105687,0.106054,0.168086,0.119914,0.166797,0.105399,0.102298,0.17728,0.08452,0.153586,0.121881,0.121954,0.11611,0.114684,0.0816926,0.10601,0.11809,0.122612,0.121809,0.120762,0.116956,0.104146,0.102556,0.10455,0.0943434,0.111476,0.10508,0.155449,0.10962,0.135177,0.0968704,0.110827,0.110363,0.113784,0.132968,0.0974003
0.096018,0.113301,0.107676,0.0936543,0.123393,0.0995506,0.0899634,0.0939646,0.128201,0.104175,0.107284,0.132348,0.0951904,0.112539,0.0733536,0.0897163,0.103098,0.148579,0.119756,0.103213,0.122146,0.10452,0.10593,0.145544,0.122367,0.123766,0.116335,0.139526,0.110124,0.105174,0.104161,0.104009,0.126256,0.111922,0.118584,0.108622,0.101186,0.087211,0.0602236,0.0784723,0.0666736,0.0760274,0.0985823,0.0821267,0.0788037,0.126844,0.0884589,0.0776583,0.0926251,0.0653792,0.0640657,0.0727607,0.161268,0.0725662,0.0680508,0.0988685,0.0801286,0.0813576,0.0962845,0.15524,0.10102,0.116768,0.0953521,0.126,0.115663,0.0901567,0.0860369,0.0934605,0.0760198,0.06995,0.0918349,0.0911894,0.0563456,0.0924957,0.0563541,0.0615189,0.0643657,0.0771373,0.0714037,0.10054,0.144254,0.0572722,0.0687451,0.1151,0.0810815,0.0802425,0.089655,0.0594478,0.0979521,0.0902702,0.0933974,0.106323,0.090074,0.18081,0.113797,0.10922,0.131873,0.107478,0.0963941,0.102955,0.09457,0.109266,0.137424,0.10712,0.096091,0.110513,0.0950811,0.115891,0.0909504,0.105277,0.160605,0.116632,0.163012,0.102284,0.098402,0.16813,0.081703,0.153512,0.118548,0.118399,0.116289,0.111011,0.0842122,0.103477,0.103626,0.119985,0.11171,0.117053,0.113063,0.101613,0.0936126,0.091139,0.0856761,0.106589,0.0982488,0.140837,0.105248,0.13019,0.0960189,0.100292,0.0938333,0.104224,0.121693,0.0981483
0.0982227,0.115305,0.105156,0.0869283,0.122621,0.0985727,0.0952486,0.10699,0.122093,0.107538,0.105515,0.139641,0.0999159,0.11762,0.0764076,0.100648,0.109987,0.149153,0.114641,0.0965382,0.110117,0.0943214,0.0959482,0.130776,0.119602,0.110966,0.111735,0.130594,0.100806,0.0951114,0.0999326,0.0967269,0.118115,0.106567,0.105642,0.111849,0.0937611,0.0889674,0.0523805,0.0845145,0.0633311,0.0678005,0.0925697,0.0762527,0.0737562,0.115057,0.0887766,0.0822018,0.088958,0.0567279,0.0607594,0.0754905,0.146828,0.0579908,0.0813619,0.0878657,0.0760021,0.0746951,0.0869601,0.153512,0.0972285,0.115124,0.0909919,0.132626,0.10576,0.0878294,0.0779551,0.0905639,0.0724257,0.0695815,0.0894998,0.0878771,0.0599733,0.0967914,0.0677089,0.0643961,0.0674514,0.0800607,0.0727938,0.0998196,0.140323,0.0665339,0.0796812,0.114822,0.0883476,0.0846849,0.0945094,0.0630995,0.0984333,0.0935691,0.0838921,0.100976,0.0796305,0.165717,0.10786,0.113664,0.121727,0.0992465,0.0883393,0.0885663,0.0814851,0.100862,0.119166,0.100597,0.0961524,0.0955526,0.0804234,0.103863,0.0952586,0.104724,0.158713,0.116342,0.155958,0.10479,0.103047,0.171655,0.0830461,0.144087,0.120932,0.125315,0.120608,0.117117,0.0912705,0.102678,0.113419,0.116578,0.115792,0.115227,0.106021,0.11722,0.100499,0.103828,0.102479,0.108489,0.100941,0.14584,0.107193,0.124581,0.0992441,0.110929,0.100148,0.115623,0.128312,0.101714
0.0972309,0.115895,0.109688,0.0928824,0.120391,0.097696,0.103095,0.0967354,0.117307,0.103279,0.102808,0.134313,0.105172,0.12185,0.0798921,0.0933468,0.106096,0.150489,0.109524,0.0918832,0.10747,0.0968144,0.0966766,0.123331,0.110928,0.114737,0.112214,0.120923,0.101304,0.101292,0.0941916,0.0959009,0.111723,0.114418,0.103312,0.106131,0.105386,0.0917801,0.058028,0.077608,0.0651137,0.0804838,0.0973771,0.0704837,0.0927162,0.116501,0.0873588,0.087009,0.104901,0.0594862,0.0623374,0.0741962,0.150072,0.0658032,0.0865735,0.10989,0.0834341,0.0893813,0.108472,0.155704,0.114263,0.123962,0.0983867,0.140556,0.112,0.100738,0.0927447,0.0953694,0.0831196,0.0820965,0.104095,0.106419,0.0607837,0.0942711,0.0662214,0.0682918,0.0763182,0.0810782,0.0717808,0.106223,0.134839,0.0546158,0.0716916,0.111059,0.0915211,0.0807125,0.0913035,0.0711143,0.0938828,0.0998617,0.0958026,0.108194,0.0878375,0.161734,0.106012,0.117555,0.128075,0.108911,0.0958634,0.103583,0.092145,0.110285,0.124206,0.114286,0.104289,0.112238,0.0899284,0.112029,0.101312,0.0970885,0.161737,0.116924,0.151358,0.104429,0.093961,0.16686,0.080906,0.147131,0.117205,0.126859,0.124238,0.117085,0.0854865,0.103772,0.111284,0.111111,0.105388,0.110893,0.10668,0.102881,0.0901151,0.106434,0.0927226,0.110524,0.100827,0.136098,0.097135,0.123325,0.0929914,0.10147,0.0952724,0.115464,0.123339,0.0964645
0.103759,0.116607,0.114885,0.0911539,0.108207,0.101077,0.100553,0.0947736,0.111342,0.0994139,0.100982,0.132531,0.0937907,0.121334,0.0784939,0.0919894,0.115873,0.143749,0.117011,0.0985247,0.117558,0.101903,0.101467,0.124703,0.128597,0.117715,0.116191,0.131592,0.11044,0.0962582,0.112405,0.106528,0.118605,0.110613,0.114628,0.105408,0.0877215,0.0812059,0.0470804,0.082358,0.0600738,0.0702228,0.0913237,0.0784875,0.0818164,0.109853,0.0737111,0.0721525,0.0940145,0.0569799,0.0539885,0.0679881,0.136141,0.0582557,0.0779148,0.095552,0.0824927,0.0815018,0.0941772,0.148001,0.106442,0.122523,0.0917328,0.134273,0.113187,0.0878812,0.0883276,0.0991361,0.0873984,0.0829549,0.0903242,0.0937804,0.057638,0.0942955,0.0594472,0.057618,0.0618572,0.079077,0.0678952,0.104029,0.1263,0.0583141,0.0687253,0.116711,0.0793947,0.0776845,0.0851487,0.0648003,0.0922686,0.095176,0.0957025,0.111519,0.0996579,0.15745,0.109285,0.118151,0.142965,0.107566,0.106617,0.10905,0.0990295,0.113561,0.130087,0.111957,0.102234,0.112396,0.101555,0.12561,0.09559,0.0990002,0.158749,0.113529,0.142246,0.0972639,0.0982145,0.161099,0.0864186,0.138134,0.115845,0.118404,0.111257,0.106011,0.080817,0.0993288,0.107336,0.115768,0.105239,0.111738,0.112048,0.101941,0.0998412,0.0951634,0.0904321,0.102587,0.102105,0.133969,0.0989249,0.131146,0.0901216,0.105027,0.0983522,0.114028,0.127657,0.0926292
0.0980932,0.115123,0.113448,0.0944374,0.117709,0.101512,0.103939,0.106995,0.114748,0.111913,0.102847,0.141792,0.10217,0.119496,0.0792365,0.105779,0.106491,0.153691,0.118331,0.103578,0.120085,0.105272,0.103819,0.12786,0.122936,0.124569,0.12118,0.126752,0.115771,0.106434,0.109764,0.106332,0.137025,0.11792,0.112864,0.115882,0.0876878,0.0877535,0.0498375,0.0818511,0.0542791,0.0646883,0.0870242,0.0717074,0.0768304,0.111545,0.0825856,0.076589,0.0830104,0.0609562,0.0601282,0.0717787,0.126368,0.0623556,0.0741685,0.105532,0.0851998,0.0908172,0.0947791,0.139386,0.110879,0.120181,0.101094,0.136656,0.10277,0.0960493,0.0929967,0.0893021,0.0861092,0.0748631,0.0954352,0.0930531,0.0556064,0.0986955,0.0654823,0.0612708,0.0697976,0.0738747,0.0688397,0.106886,0.120916,0.0620842,0.0718568,0.111116,0.0894191,0.0854019,0.0905171,0.0630795,0.0963686,0.0904408,0.093641,0.102834,0.0943071,0.144439,0.104876,0.121235,0.135426,0.106041,0.104201,0.102086,0.091524,0.107129,0.124402,0.107675,0.0974514,0.108626,0.0901025,0.120323,0.09213,0.0935015,0.156221,0.108077,0.136748,0.0972951,0.0906805,0.160041,0.0776247,0.132359,0.114533,0.116972,0.121046,0.116173,0.0821218,0.0933446,0.106797,0.11306,0.111662,0.124931,0.118337,0.10642,0.0966653,0.105611,0.095388,0.106126,0.103572,0.137733,0.106733,0.136619,0.100373,0.108721,0.102175,0.115105,0.139171,0.100364
0.0967624,0.110112,0.109556,0.0936394,0.0983909,0.0966776,0.100152,0.108852,0.109175,0.0962934,0.0972245,0.134039,0.099722,0.118006,0.0773911,0.0976631,0.107535,0.144675,0.124693,0.107623,0.12005,0.104256,0.113999,0.129778,0.12759,0.12241,0.11605,0.124791,0.115813,0.115557,0.113922,0.110195,0.123403,0.118802,0.116872,0.119909,0.0991817,0.102501,0.0627636,0.090902,0.0716148,0.0803286,0.100481,0.0856454,0.0834009,0.1237,0.0927054,0.0904622,0.0996391,0.0702756,0.0602057,0.080324,0.129265,0.073698,0.0775129,0.100412,0.0824494,0.0843809,0.0939544,0.131149,0.106154,0.119995,0.100503,0.138914,0.101159,0.0988919,0.0921279,0.0949701,0.0856823,0.0795175,0.0976657,0.0960969,0.073615,0.106311,0.067839,0.0725539,0.0788448,0.0882796,0.0845971,0.117997,0.126511,0.0699509,0.0876491,0.12442,0.0948832,0.0873352,0.102431,0.0822544,0.108858,0.102283,0.094853,0.109778,0.0971488,0.148001,0.109975,0.119864,0.134832,0.107294,0.100325,0.10491,0.0973456,0.111832,0.121207,0.115219,0.101812,0.112454,0.0899641,0.12125,0.110483,0.103111,0.175813,0.118644,0.138643,0.11265,0.102565,0.168246,0.0903571,0.137248,0.133334,0.129192,0.12414,0.12419,0.0912754,0.111609,0.11861,0.124654,0.102457,0.120112,0.101481,0.101261,0.0964913,0.0992258,0.0931607,0.101096,0.105107,0.119933,0.100557,0.129201,0.0885501,0.109014,0.0983503,0.108844,0.133646,0.0980159
0.102635,0.113383,0.112125,0.0997308,0.108522,0.100109,0.103908,0.101664,0.113115,0.107604,0.098393,0.135892,0.103158,0.121397,0.0813647,0.102229,0.10591,0.153775,0.132232,0.107857,0.122295,0.105039,0.110781,0.127465,0.136912,0.123639,0.131603,0.124674,0.125229,0.115257,0.121682,0.112072,0.134364,0.117745,0.121487,0.120788,0.107461,0.0989707,0.0656038,0.0936294,0.0709396,0.0807212,0.101345,0.0787679,0.0912121,0.126735,0.0962151,0.0905078,0.106665,0.0746355,0.0688705,0.0862283,0.134545,0.0677762,0.0819698,0.101986,0.085916,0.084622,0.0975155,0.129185,0.105943,0.122037,0.0979995,0.138063,0.100703,0.100972,0.0880053,0.0880874,0.0868579,0.0774316,0.0979043,0.0951169,0.0648289,0.100199,0.0708524,0.0628856,0.0787306,0.0771591,0.0763107,0.112408,0.120515,0.065617,0.0770004,0.122624,0.0914743,0.0848021,0.102104,0.0695498,0.0958471,0.0990385,0.101873,0.109574,0.0927422,0.142538,0.112064,0.123694,0.138342,0.109654,0.0995437,0.104073,0.0980365,0.111729,0.122101,0.112199,0.100229,0.113032,0.095053,0.119462,0.102474,0.103359,0.174159,0.12753,0.144152,0.10892,0.10606,0.177184,0.0904825,0.139305,0.124773,0.126696,0.128676,0.120645,0.0881844,0.112404,0.11629,0.12452,0.111695,0.127257,0.11654,0.108473,0.0996895,0.103285,0.0989882,0.107369,0.107723,0.131971,0.106983,0.135074,0.100509,0.109199,0.106696,0.116992,0.136007,0.102677
0.0969978,0.120612,0.110735,0.101136,0.117142,0.099401,0.104103,0.106469,0.112588,0.108026,0.106624,0.136151,0.10193,0.117907,0.081919,0.10244,0.111296,0.150213,0.140221,0.120071,0.126411,0.112349,0.117393,0.134827,0.141861,0.13471,0.137957,0.135126,0.130261,0.121529,0.124584,0.120957,0.140156,0.128871,0.128304,0.127278,0.102005,0.0998314,0.0638924,0.095127,0.0720793,0.0786692,0.0981691,0.0825841,0.0863535,0.126947,0.0910786,0.0844193,0.0988682,0.0772778,0.0676253,0.0861273,0.134096,0.0673539,0.085976,0.105866,0.0887799,0.0927012,0.106928,0.140978,0.121039,0.128458,0.104871,0.148706,0.110009,0.104931,0.0920396,0.104,0.095363,0.0781536,0.106948,0.108671,0.062791,0.106156,0.0649015,0.0630855,0.0714818,0.0859419,0.0790594,0.109419,0.119735,0.0634463,0.0797689,0.121696,0.091706,0.0845667,0.102126,0.0743478,0.106863,0.101375,0.101076,0.119041,0.100213,0.144586,0.117353,0.129495,0.148231,0.113885,0.104965,0.11361,0.101965,0.119456,0.12993,0.118874,0.105848,0.111536,0.0994063,0.122349,0.110154,0.115098,0.177644,0.127786,0.153379,0.120596,0.10846,0.18197,0.0994759,0.142156,0.131636,0.143486,0.133611,0.130427,0.0962867,0.114654,0.12182,0.133636,0.10473,0.112231,0.10611,0.102601,0.0941687,0.0937746,0.0889692,0.0979009,0.0965127,0.122657,0.104435,0.130577,0.095898,0.104977,0.10027,0.113699,0.128409,0.0945925
