V05[1.2],V05[1.2],V05[1.2],V05[1.2],V05[1.2],V05[1.2],V05[1.2],V06[7.8],V06[7.8],V06[7.8],V06[7.8],V06[7.8],V06[7.8],V06[7.8],V08[6.9],V08[6.9],V08[6.9],V08[6.9],V08[6.9],V08[6.9],V08[6.9],V12[11.9],V12[11.9],V12[11.9],V12[11.9],V12[11.9],V12[11.9],V12[11.9],V16[6.0],V16[6.0],V16[6.0],V16[6.0],V16[6.0],V16[6.0],V16[6.0],V20[5.7],V20[5.7],V20[5.7],V20[5.7],V20[5.7],V20[5.7],V20[5.7],V24[5.5],V24[5.5],V24[5.5],V24[5.5],V24[5.5],V24[5.5],V24[5.5],V27[1.7],V27[1.7],V27[1.7],V27[1.7],V27[1.7],V27[1.7],V27[1.7],N05[1.8],N05[1.8],N05[1.8],N05[1.8],N05[1.8],N05[1.8],N05[1.8],N06[5.2],N06[5.2],N06[5.2],N06[5.2],N06[5.2],N06[5.2],N06[5.2],N08[6.5],N08[6.5],N08[6.5],N08[6.5],N08[6.5],N08[6.5],N08[6.5],N12[7.0],N12[7.0],N12[7.0],N12[7.0],N12[7.0],N12[7.0],N12[7.0],N16[9.0],N16[9.0],N16[9.0],N16[9.0],N16[9.0],N16[9.0],N16[9.0],N20[10.5],N20[10.5],N20[10.5],N20[10.5],N20[10.5],N20[10.5],N20[10.5],N24[16.7],N24[16.7],N24[16.7],N24[16.7],N24[16.7],N24[16.7],N24[16.7],N28[3.6],N28[3.6],N28[3.6],N28[3.6],N28[3.6],N28[3.6],N28[3.6],S06[1.4],S06[1.4],S06[1.4],S06[1.4],S06[1.4],S06[1.4],S06[1.4],S07[6.5],S07[6.5],S07[6.5],S07[6.5],S07[6.5],S07[6.5],S07[6.5],S09[8.1],S09[8.1],S09[8.1],S09[8.1],S09[8.1],S09[8.1],S09[8.1],S13[10.3],S13[10.3],S13[10.3],S13[10.3],S13[10.3],S13[10.3],S13[10.3],S17[19.0],S17[19.0],S17[19.0],S17[19.0],S17[19.0],S17[19.0],S17[19.0],S21[11.2],S21[11.2],S21[11.2],S21[11.2],S21[11.2],S21[11.2],S21[11.2],S25[12.2],S25[12.2],S25[12.2],S25[12.2],S25[12.2],S25[12.2],S25[12.2],S29[4.9],S29[4.9],S29[4.9],S29[4.9],S29[4.9],S29[4.9],S29[4.9]
"0,201017","0,194557","0,201748","0,197476","0,222064","0,206455","0,208473","0,212054","0,206096","0,213489","0,214674","0,207233","0,216617","0,215471","0,192865","0,196428","0,198432","0,188388","0,225072","0,210872","0,20741","0,184513","0,18138","0,178929","0,167495","0,189217","0,182498","0,171676","0,207563","0,210828","0,211549","0,206084","0,205208","0,212482","0,203684","0,193821","0,201183","0,191913","0,208695","0,220361","0,205836","0,204522","0,19805","0,211059","0,208236","0,206029","0,209646","0,188711","0,202591","0,191061","0,183885","0,185734","0,192404","0,203532","0,201532","0,198814","0,18948","0,204775","0,196658","0,202768","0,185102","0,187473","0,211939","0,221946","0,217841","0,226442","0,215621","0,212905","0,238391","0,223008","0,198876","0,197824","0,197051","0,198292","0,217427","0,203739","0,216618","0,201838","0,225886","0,209392","0,222361","0,232916","0,230504","0,208808","0,195936","0,216568","0,190975","0,211197","0,207462","0,200986","0,205156","0,216916","0,225188","0,189321","0,220556","0,207644","0,224226","0,220779","0,200758","0,209166","0,206712","0,210444","0,223324","0,217295","0,23637","0,19754","0,198505","0,191133","0,183237","0,202828","0,203818","0,20419","0,214917","0,219273","0,229124","0,234041","0,234157","0,232855","0,229759","0,252613","0,258732","0,255501","0,274178","0,270045","0,263615","0,273317","0,221846","0,216085","0,245685","0,244572","0,244173","0,259173","0,247902","0,246248","0,256092","0,253637","0,256133","0,243094","0,251592","0,269252","0,222173","0,237631","0,246354","0,244289","0,265584","0,259266","0,253254","0,250269","0,235792","0,246292","0,243492","0,255311","0,247979","0,257642","0,209847","0,2108","0,211093","0,220054","0,224879","0,226129","0,235073","0,225999","0,217425","0,219966","0,232526","0,22127","0,225652","0,231199"
"0,220395","0,221433","0,231197","0,218254","0,229039","0,241516","0,235604","0,225432","0,213868","0,228638","0,220029","0,231616","0,214662","0,22327","0,230453","0,236499","0,226026","0,216322","0,217728","0,244829","0,23613","0,221326","0,225894","0,230907","0,238135","0,222033","0,225098","0,232562","0,225788","0,235538","0,228496","0,221347","0,218802","0,228379","0,223577","0,208409","0,214744","0,218032","0,219129","0,219127","0,204326","0,222764","0,196829","0,206314","0,226198","0,200265","0,219341","0,203661","0,203343","0,194806","0,201218","0,192878","0,213249","0,199266","0,202798","0,229834","0,222221","0,211642","0,213224","0,215141","0,21168","0,231689","0,217709","0,229736","0,224191","0,225713","0,220339","0,215196","0,235034","0,227676","0,226163","0,215973","0,231968","0,221056","0,2381","0,242873","0,225605","0,223996","0,234083","0,234006","0,242747","0,246","0,225321","0,222617","0,246109","0,23119","0,246791","0,226168","0,228916","0,212295","0,219289","0,208497","0,227207","0,225903","0,215324","0,208572","0,227409","0,222619","0,208838","0,217548","0,225094","0,219835","0,239999","0,241112","0,245444","0,195888","0,194209","0,198759","0,191213","0,182043","0,179664","0,19731","0,244366","0,235237","0,242034","0,253493","0,243183","0,240924","0,240872","0,261335","0,260649","0,276602","0,271744","0,270595","0,261743","0,271198","0,228803","0,226412","0,251261","0,243958","0,255169","0,253322","0,259101","0,252497","0,239304","0,23125","0,25648","0,258719","0,256243","0,267109","0,249753","0,233327","0,245578","0,244831","0,252397","0,255676","0,2555","0,245121","0,256931","0,263022","0,259829","0,268696","0,258133","0,246817","0,228199","0,229572","0,243501","0,238206","0,234244","0,238071","0,252923","0,222831","0,225122","0,225308","0,223957","0,241204","0,242614","0,236297"
"0,227003","0,236089","0,228423","0,23831","0,24258","0,240435","0,25251","0,221157","0,216692","0,212232","0,207623","0,225519","0,206786","0,21674","0,243832","0,243569","0,231687","0,215325","0,229774","0,240894","0,237332","0,217405","0,221036","0,221228","0,223287","0,213307","0,224931","0,213691","0,229452","0,205763","0,23352","0,234072","0,234875","0,232778","0,232897","0,219366","0,226297","0,212983","0,228711","0,217856","0,229778","0,226563","0,209314","0,19477","0,216439","0,21208","0,221546","0,222799","0,192049","0,177782","0,192522","0,201674","0,195223","0,188227","0,21065","0,192862","0,214328","0,227129","0,232971","0,222928","0,234751","0,243557","0,229066","0,252498","0,233138","0,237283","0,24593","0,252919","0,253926","0,242102","0,220913","0,230771","0,219763","0,218326","0,229546","0,244051","0,227869","0,251726","0,261376","0,257388","0,249787","0,262666","0,259676","0,251734","0,21301","0,23201","0,23118","0,222129","0,23618","0,208349","0,211744","0,25028","0,243459","0,246589","0,248171","0,251315","0,255776","0,244622","0,230061","0,238683","0,24049","0,222187","0,238901","0,230975","0,259734","0,181402","0,187764","0,18499","0,19063","0,197548","0,202547","0,19113","0,251266","0,252466","0,259441","0,247808","0,267484","0,266069","0,255933","0,258798","0,264208","0,269697","0,27058","0,272804","0,266224","0,274313","0,244319","0,239346","0,249139","0,263245","0,259277","0,262749","0,266413","0,251961","0,244181","0,241322","0,249149","0,261745","0,25557","0,255601","0,250248","0,242755","0,247031","0,265538","0,256385","0,262555","0,257006","0,252541","0,244242","0,262134","0,255197","0,257368","0,252967","0,25777","0,259103","0,24492","0,243353","0,267385","0,261722","0,256716","0,262453","0,22593","0,219246","0,237006","0,238854","0,237252","0,25324","0,228034"
"0,210601","0,224617","0,196919","0,22452","0,226758","0,244764","0,216833","0,227274","0,240272","0,232075","0,221027","0,238743","0,230275","0,233779","0,247796","0,236195","0,24476","0,219409","0,241046","0,245124","0,250833","0,225003","0,232256","0,224264","0,225968","0,213434","0,224795","0,211111","0,240463","0,24202","0,238808","0,242519","0,256454","0,240353","0,240031","0,224452","0,236909","0,236578","0,229905","0,228228","0,234649","0,227508","0,209411","0,218243","0,226715","0,235961","0,236288","0,226968","0,228945","0,201629","0,211851","0,206415","0,220918","0,213762","0,220083","0,212209","0,203836","0,222042","0,214351","0,214308","0,226877","0,234971","0,227018","0,259579","0,259092","0,258233","0,255768","0,265513","0,273617","0,24958","0,210717","0,21749","0,216066","0,219246","0,214277","0,222896","0,221933","0,25635","0,249445","0,249447","0,253894","0,252074","0,256762","0,25435","0,227803","0,249998","0,238901","0,23209","0,238408","0,225755","0,219231","0,225036","0,228357","0,250127","0,252353","0,244577","0,252981","0,230893","0,217857","0,235133","0,240351","0,235322","0,239374","0,237308","0,238773","0,205887","0,202046","0,191674","0,198499","0,209298","0,204089","0,205261","0,249449","0,246695","0,255365","0,24405","0,248448","0,254897","0,256415","0,261237","0,273164","0,277578","0,27789","0,27554","0,277165","0,270407","0,245937","0,231665","0,241058","0,257515","0,263489","0,26892","0,264129","0,244496","0,249863","0,255867","0,254576","0,254275","0,274193","0,261106","0,249291","0,239924","0,24954","0,261745","0,263995","0,255769","0,26449","0,261472","0,265931","0,27836","0,271295","0,279084","0,284239","0,285704","0,235618","0,237786","0,239346","0,244216","0,256206","0,239455","0,245313","0,248094","0,244285","0,253882","0,24327","0,239181","0,254564","0,253432"
"0,224322","0,238744","0,219385","0,233768","0,237572","0,241848","0,244725","0,23504","0,230632","0,229541","0,226492","0,235781","0,227055","0,22532","0,244227","0,221668","0,230702","0,232019","0,238208","0,24034","0,247498","0,214091","0,206983","0,21483","0,219066","0,221572","0,213276","0,219863","0,234822","0,256926","0,251835","0,248434","0,251509","0,2406","0,234377","0,226059","0,243788","0,22934","0,239998","0,239451","0,240674","0,234445","0,21","0,216487","0,226461","0,218254","0,226565","0,229185","0,215477","0,188995","0,198952","0,213119","0,208912","0,207704","0,203388","0,198867","0,224186","0,240641","0,238165","0,227242","0,229696","0,2418","0,244109","0,25483","0,257749","0,243138","0,253122","0,252773","0,260779","0,259377","0,238545","0,238271","0,237074","0,235301","0,246141","0,250608","0,23418","0,233688","0,234579","0,241171","0,230838","0,24493","0,235239","0,245614","0,219332","0,23318","0,237554","0,224318","0,227927","0,215091","0,221452","0,237022","0,239056","0,251866","0,247238","0,242633","0,245842","0,232142","0,226893","0,234222","0,228825","0,220628","0,237462","0,22448","0,230478","0,186906","0,207402","0,200037","0,200031","0,205843","0,204564","0,203567","0,238423","0,256117","0,262654","0,25057","0,256514","0,259946","0,250497","0,264716","0,261653","0,278988","0,269346","0,277891","0,271153","0,277464","0,251814","0,244397","0,258188","0,262323","0,27362","0,270892","0,276398","0,270442","0,253313","0,260142","0,264149","0,266014","0,271505","0,279023","0,251827","0,244274","0,260873","0,265318","0,270762","0,265726","0,265925","0,274731","0,272393","0,277869","0,279161","0,271526","0,275515","0,280548","0,252314","0,248873","0,25634","0,265744","0,260888","0,265349","0,271601","0,233486","0,246893","0,253301","0,245181","0,239268","0,257369","0,255732"
"0,216875","0,212271","0,21981","0,219342","0,221876","0,237305","0,229614","0,2184","0,232472","0,232309","0,230773","0,231306","0,223968","0,230367","0,235238","0,236521","0,232889","0,227766","0,228911","0,235668","0,244098","0,218992","0,214613","0,209847","0,21291","0,213507","0,214458","0,212179","0,242337","0,241036","0,245952","0,2382","0,242185","0,22845","0,238583","0,227494","0,234193","0,237875","0,236009","0,235911","0,230029","0,234217","0,216057","0,217505","0,226476","0,208954","0,225909","0,224937","0,215734","0,199603","0,206216","0,203595","0,204365","0,209724","0,201852","0,204555","0,222224","0,224857","0,226014","0,236135","0,231826","0,233695","0,237941","0,232158","0,236883","0,239405","0,240328","0,23429","0,246764","0,242244","0,23655","0,227032","0,231104","0,232506","0,231038","0,239845","0,238347","0,251738","0,26378","0,251925","0,25078","0,26038","0,265767","0,259099","0,228678","0,243815","0,250751","0,23533","0,241836","0,22072","0,231426","0,235874","0,249693","0,236581","0,246193","0,258359","0,245172","0,230447","0,233035","0,233288","0,227715","0,217655","0,226032","0,228146","0,233225","0,196908","0,211735","0,213177","0,204172","0,220461","0,208078","0,204826","0,245379","0,252901","0,26099","0,252551","0,253198","0,254242","0,25026","0,273589","0,268553","0,285465","0,283408","0,279306","0,284302","0,284874","0,252527","0,24822","0,248096","0,26494","0,262277","0,267175","0,269434","0,2669","0,255579","0,25741","0,272321","0,266558","0,271612","0,280233","0,254063","0,258749","0,258569","0,271182","0,267627","0,264162","0,273662","0,2599","0,260778","0,251427","0,258388","0,270436","0,268362","0,262551","0,233791","0,244147","0,239414","0,249196","0,25815","0,249366","0,26399","0,240006","0,233999","0,2362","0,234841","0,23896","0,246957","0,24608"
"0,21907","0,227572","0,225277","0,22505","0,235723","0,233038","0,225698","0,235788","0,236451","0,228736","0,22948","0,230577","0,233692","0,227347","0,227733","0,229393","0,228458","0,218143","0,225608","0,229712","0,235908","0,220701","0,225501","0,21907","0,221508","0,221351","0,212103","0,212437","0,236065","0,23918","0,249714","0,230968","0,240401","0,22862","0,228582","0,227714","0,248415","0,233885","0,242421","0,235517","0,236659","0,235572","0,215003","0,217385","0,2201","0,216317","0,225962","0,221635","0,214997","0,205452","0,199192","0,204359","0,213844","0,212277","0,213903","0,211162","0,237126","0,231184","0,233268","0,243554","0,240423","0,228444","0,240518","0,253341","0,251841","0,254254","0,244753","0,242707","0,255176","0,251588","0,231112","0,228944","0,234087","0,23246","0,236951","0,237758","0,238211","0,245832","0,251202","0,262026","0,258282","0,249485","0,256011","0,246944","0,237076","0,239449","0,232581","0,225521","0,236415","0,226426","0,224819","0,244331","0,239476","0,238254","0,252569","0,245278","0,23985","0,228043","0,225063","0,221398","0,226055","0,225517","0,23384","0,229962","0,237294","0,208712","0,216927","0,215134","0,206115","0,21761","0,213883","0,200189","0,253584","0,252479","0,257502","0,257473","0,263378","0,261188","0,267083","0,269636","0,269567","0,27733","0,287634","0,282834","0,281633","0,289043","0,254229","0,253087","0,263099","0,270467","0,267088","0,265655","0,256002","0,256755","0,262333","0,252223","0,266247","0,264972","0,277533","0,269629","0,262676","0,257613","0,265715","0,26949","0,274009","0,265212","0,275572","0,256412","0,254345","0,276421","0,26983","0,275788","0,279799","0,2684","0,24364","0,23848","0,24039","0,258652","0,248788","0,245062","0,262994","0,234882","0,2395","0,235721","0,244789","0,239352","0,247959","0,249195"
"0,22488","0,237372","0,22937","0,232134","0,239591","0,246305","0,233754","0,220604","0,233558","0,228691","0,222667","0,223965","0,23415","0,231436","0,216825","0,219585","0,220577","0,207732","0,232011","0,229003","0,22605","0,219408","0,229375","0,218958","0,2199","0,218823","0,221615","0,219898","0,239698","0,244342","0,23896","0,233125","0,245519","0,227211","0,234098","0,22449","0,225845","0,222682","0,226287","0,227243","0,226674","0,229874","0,226848","0,224423","0,227446","0,228812","0,222888","0,22511","0,22397","0,204205","0,214458","0,216621","0,213612","0,210222","0,221497","0,210706","0,219294","0,221406","0,230412","0,226143","0,223401","0,230884","0,220036","0,250578","0,242346","0,241308","0,235376","0,240262","0,257074","0,246602","0,221868","0,224945","0,23303","0,229418","0,213413","0,241289","0,231337","0,242563","0,242115","0,239121","0,241079","0,245967","0,249856","0,23494","0,24486","0,24028","0,24176","0,230487","0,240462","0,224672","0,228176","0,247356","0,249522","0,244263","0,257907","0,238089","0,249999","0,242229","0,221435","0,221249","0,219722","0,229994","0,238052","0,228554","0,24351","0,199288","0,207907","0,218645","0,205536","0,20728","0,204932","0,198224","0,256205","0,25251","0,260353","0,25586","0,264574","0,265077","0,258415","0,271659","0,276663","0,27835","0,285829","0,273845","0,274165","0,280077","0,262032","0,246507","0,257595","0,266098","0,273681","0,263193","0,275787","0,26733","0,258195","0,257406","0,263074","0,268103","0,27428","0,268597","0,257138","0,250854","0,256103","0,266817","0,264322","0,255092","0,273784","0,25855","0,252642","0,261336","0,266412","0,267288","0,265255","0,268188","0,2522","0,248832","0,253","0,254039","0,258315","0,247842","0,268572","0,231292","0,237862","0,244027","0,243598","0,236895","0,241831","0,24363"
"0,2278","0,228014","0,223852","0,219541","0,231119","0,236321","0,223345","0,232432","0,228912","0,233975","0,217578","0,237992","0,231692","0,222738","0,225898","0,212558","0,223873","0,209266","0,219037","0,222584","0,226717","0,223604","0,217366","0,2266","0,221452","0,210361","0,216568","0,207698","0,228185","0,231275","0,232878","0,227197","0,244506","0,232447","0,227677","0,222623","0,224475","0,22224","0,213055","0,220381","0,222118","0,216156","0,215656","0,206659","0,217198","0,219574","0,219574","0,218659","0,210199","0,190316","0,198381","0,201104","0,205525","0,200844","0,210419","0,203657","0,223043","0,217645","0,214007","0,217954","0,223041","0,236486","0,232642","0,240912","0,24104","0,23832","0,236168","0,238459","0,245548","0,242585","0,223843","0,239487","0,238238","0,229734","0,231236","0,232039","0,234629","0,235616","0,234729","0,232014","0,230679","0,239754","0,231834","0,223841","0,236174","0,24241","0,234323","0,231467","0,235348","0,221208","0,220251","0,229876","0,239107","0,238311","0,2391","0,235828","0,239498","0,224157","0,230523","0,229863","0,231765","0,231347","0,22868","0,226527","0,24346","0,19862","0,199229","0,202828","0,19664","0,208274","0,201418","0,201485","0,243003","0,247824","0,25304","0,24909","0,255908","0,269317","0,249319","0,265538","0,26764","0,28284","0,276407","0,270948","0,275182","0,279408","0,257491","0,246526","0,248659","0,263016","0,264446","0,263177","0,266478","0,256988","0,256173","0,259602","0,259221","0,259436","0,275067","0,277014","0,249066","0,259733","0,258737","0,272671","0,267533","0,264931","0,267295","0,269679","0,264643","0,263816","0,264404","0,272894","0,263441","0,267202","0,24469","0,226858","0,241669","0,245394","0,249516","0,244097","0,256048","0,235946","0,234952","0,24905","0,242403","0,227383","0,248416","0,242455"
"0,22052","0,221826","0,222942","0,220911","0,223023","0,227445","0,223767","0,226767","0,23252","0,229418","0,224073","0,233417","0,23201","0,231803","0,224199","0,222275","0,228161","0,206068","0,220415","0,229122","0,225056","0,212996","0,212939","0,209233","0,215802","0,208434","0,208607","0,203431","0,219824","0,22544","0,230273","0,219866","0,237236","0,226799","0,22624","0,22096","0,222298","0,225817","0,221104","0,220421","0,223741","0,224692","0,216588","0,220515","0,224187","0,214733","0,218273","0,216202","0,2174","0,191392","0,205848","0,20736","0,212741","0,202892","0,213619","0,214292","0,218365","0,227877","0,229614","0,223723","0,232098","0,236399","0,22924","0,240276","0,224942","0,232305","0,24576","0,233483","0,245087","0,240616","0,219685","0,224752","0,23274","0,217866","0,219944","0,233489","0,230901","0,239081","0,243179","0,234833","0,244915","0,240767","0,236922","0,242054","0,219721","0,230229","0,227754","0,228486","0,230659","0,213757","0,220497","0,220918","0,229988","0,230569","0,236117","0,227635","0,236049","0,231489","0,218125","0,230718","0,235761","0,222092","0,23456","0,231339","0,239339","0,207014","0,216934","0,205971","0,210954","0,217604","0,216297","0,215859","0,235618","0,237565","0,248638","0,24066","0,244306","0,252665","0,240016","0,267854","0,274926","0,277575","0,273779","0,270476","0,278859","0,274331","0,266524","0,253579","0,258876","0,268262","0,277469","0,268624","0,272801","0,253158","0,247327","0,249383","0,250109","0,248975","0,263018","0,265067","0,244793","0,245869","0,251185","0,259239","0,256784","0,253086","0,25461","0,258304","0,252253","0,259929","0,245401","0,26292","0,266413","0,264262","0,24074","0,231313","0,2448","0,244446","0,241948","0,244532","0,252173","0,236541","0,232086","0,234049","0,236484","0,235223","0,238768","0,246598"
