V05[1.2],V06[7.8],V08[6.9],V12[11.9],V16[6.0],V20[5.7],V24[5.5],V27[1.7],N05[1.8],N06[5.2],N08[6.5],N12[7.0],N16[9.0],N20[10.5],N24[16.7],N28[3.6],S06[1.4],S07[6.5],S09[8.1],S13[10.3],S17[19.0],S21[11.2],S25[12.2],S29[4.9],V05[1.7],V06[9.6],V08[6.1],V12[7.4],V16[7.5],V20[6.9],V24[7.8],V28[2.6]
0.197476,0.214674,0.188388,0.167495,0.206084,0.208695,0.206029,0.192404,0.202768,0.215621,0.198292,0.222361,0.211197,0.220556,0.210444,0.183237,0.234041,0.274178,0.244572,0.256133,0.244289,0.243492,0.220054,0.232526,0.242051,0.261435,0.258505,0.257353,0.246985,0.234201,0.229689,0.245271
0.218254,0.220029,0.216322,0.238135,0.221347,0.219129,0.200265,0.213249,0.215141,0.220339,0.221056,0.242747,0.226168,0.215324,0.219835,0.191213,0.253493,0.271744,0.243958,0.25648,0.244831,0.259829,0.238206,0.223957,0.241984,0.262793,0.262466,0.254618,0.272008,0.238429,0.237493,0.249151
0.23831,0.207623,0.215325,0.223287,0.234072,0.228711,0.21208,0.195223,0.222928,0.24593,0.218326,0.249787,0.222129,0.248171,0.222187,0.19063,0.247808,0.27058,0.263245,0.249149,0.265538,0.255197,0.267385,0.238854,0.249738,0.26276,0.261965,0.255155,0.257811,0.256551,0.252143,0.252539
0.22452,0.221027,0.219409,0.225968,0.242519,0.229905,0.235961,0.220918,0.214308,0.255768,0.219246,0.253894,0.23209,0.252353,0.235322,0.198499,0.24405,0.27789,0.257515,0.254576,0.261745,0.271295,0.244216,0.24327,0.254722,0.280911,0.266532,0.257242,0.252329,0.26668,0.242441,0.256024
0.233768,0.226492,0.232019,0.219066,0.248434,0.239998,0.218254,0.208912,0.227242,0.253122,0.235301,0.230838,0.224318,0.247238,0.220628,0.200031,0.25057,0.269346,0.262323,0.264149,0.265318,0.279161,0.265744,0.245181,0.248108,0.266184,0.260782,0.272044,0.266865,0.265651,0.250203,0.265086
0.219342,0.230773,0.227766,0.21291,0.2382,0.236009,0.208954,0.204365,0.236135,0.240328,0.232506,0.25078,0.23533,0.246193,0.217655,0.204172,0.252551,0.283408,0.26494,0.272321,0.271182,0.258388,0.249196,0.234841,0.25069,0.269532,0.255901,0.264225,0.264144,0.257638,0.258484,0.281196
0.22505,0.22948,0.218143,0.221508,0.230968,0.242421,0.216317,0.213844,0.243554,0.244753,0.23246,0.258282,0.225521,0.252569,0.225517,0.206115,0.257473,0.287634,0.270467,0.266247,0.26949,0.26983,0.258652,0.244789,0.250318,0.274203,0.272268,0.266227,0.265016,0.255132,0.25602,0.271723
0.232134,0.222667,0.207732,0.2199,0.233125,0.226287,0.228812,0.213612,0.226143,0.235376,0.229418,0.241079,0.230487,0.257907,0.229994,0.205536,0.25586,0.285829,0.266098,0.263074,0.266817,0.266412,0.254039,0.243598,0.257532,0.271465,0.261909,0.262421,0.261462,0.237073,0.2561,0.269636
0.219541,0.217578,0.209266,0.221452,0.227197,0.213055,0.219574,0.205525,0.217954,0.236168,0.229734,0.230679,0.231467,0.2391,0.231347,0.19664,0.24909,0.276407,0.263016,0.259221,0.272671,0.264404,0.245394,0.242403,0.259726,0.264688,0.256702,0.25961,0.263245,0.247621,0.251381,0.272547
0.220911,0.224073,0.206068,0.215802,0.219866,0.221104,0.214733,0.212741,0.223723,0.24576,0.217866,0.244915,0.228486,0.236117,0.222092,0.210954,0.24066,0.273779,0.268262,0.250109,0.259239,0.245401,0.244446,0.236484,0.251969,0.268129,0.265122,0.253495,0.269656,0.253827,0.253851,0.253076
0.225578,0.213718,0.207015,0.199322,0.229405,0.226606,0.213841,0.209,0.216605,0.240111,0.223339,0.228711,0.2329,0.229292,0.218007,0.214668,0.242025,0.266282,0.259807,0.257626,0.258993,0.244105,0.244688,0.244177,0.242328,0.271669,0.254903,0.267357,0.262116,0.245803,0.252087,0.256295
0.213411,0.214168,0.199811,0.207595,0.21941,0.229051,0.209505,0.211204,0.215664,0.22785,0.221202,0.225649,0.212482,0.231337,0.218589,0.207953,0.240995,0.285442,0.255466,0.260149,0.258597,0.262153,0.243338,0.231332,0.252622,0.264842,0.264071,0.266894,0.259645,0.228426,0.249457,0.248387
0.218281,0.20992,0.195288,0.206825,0.224507,0.219818,0.212795,0.213354,0.197231,0.219493,0.211776,0.229087,0.232016,0.218033,0.215168,0.207636,0.253949,0.285193,0.253946,0.252474,0.260749,0.252222,0.236592,0.235173,0.253498,0.260856,0.250342,0.266859,0.270536,0.251452,0.248603,0.245307
0.240984,0.218767,0.203066,0.212893,0.223993,0.216417,0.208976,0.210388,0.204443,0.224473,0.206759,0.221675,0.223653,0.225725,0.212166,0.218346,0.24758,0.283897,0.266335,0.262196,0.259832,0.268673,0.221764,0.230299,0.259881,0.269963,0.259398,0.270947,0.266482,0.253509,0.248366,0.260943
0.230893,0.228164,0.203747,0.214186,0.220966,0.21991,0.220047,0.211635,0.206753,0.221776,0.21795,0.225912,0.228025,0.223692,0.221667,0.201782,0.251797,0.279765,0.272537,0.278066,0.262376,0.260632,0.246424,0.249623,0.261513,0.275608,0.280658,0.275613,0.28306,0.25787,0.253402,0.260479
0.240647,0.241846,0.214558,0.232203,0.23958,0.245497,0.228131,0.229728,0.207821,0.244692,0.224847,0.238942,0.2422,0.249864,0.221408,0.230233,0.279826,0.311205,0.288822,0.297138,0.298137,0.289808,0.274087,0.266509,0.271601,0.312968,0.314069,0.297607,0.318765,0.273856,0.283038,0.275926
0.256821,0.256835,0.237601,0.249899,0.275186,0.27118,0.244576,0.244647,0.228834,0.272329,0.252055,0.252849,0.271361,0.265057,0.258169,0.253476,0.281587,0.34383,0.319579,0.33772,0.326338,0.319414,0.287614,0.279168,0.315264,0.342349,0.339857,0.343907,0.320698,0.303014,0.319752,0.30994
0.301084,0.284923,0.277889,0.295328,0.29044,0.301103,0.261216,0.249246,0.271992,0.312158,0.297117,0.320017,0.309049,0.3128,0.286364,0.263282,0.29297,0.367797,0.352632,0.331817,0.344192,0.325816,0.30922,0.279081,0.33441,0.359757,0.354357,0.363495,0.353695,0.331378,0.324895,0.324507
0.315145,0.302946,0.303973,0.303081,0.326858,0.3135,0.294473,0.278091,0.294491,0.315255,0.322305,0.347764,0.322765,0.321396,0.304416,0.256718,0.321859,0.378561,0.360157,0.347393,0.361896,0.370724,0.326869,0.314029,0.344058,0.380863,0.362609,0.350313,0.372074,0.342026,0.366103,0.350549
0.308298,0.33738,0.30826,0.332732,0.335729,0.343992,0.325329,0.291898,0.301015,0.349303,0.324011,0.358019,0.339129,0.348937,0.330614,0.266851,0.334252,0.394924,0.388226,0.375702,0.366788,0.375626,0.330695,0.314056,0.351895,0.405182,0.386397,0.392731,0.37192,0.372286,0.356957,0.369103
0.322175,0.343139,0.324444,0.335531,0.34728,0.354591,0.326798,0.302132,0.314664,0.374571,0.348725,0.378354,0.348584,0.374032,0.334385,0.293219,0.367225,0.427276,0.389734,0.377992,0.376502,0.387463,0.350071,0.343194,0.358421,0.413439,0.393282,0.395065,0.392626,0.380259,0.383213,0.37545
0.339325,0.344788,0.333069,0.338865,0.377924,0.36544,0.339274,0.303899,0.327365,0.379907,0.373643,0.376981,0.358507,0.388373,0.359492,0.303028,0.373715,0.44513,0.410985,0.405333,0.386849,0.404262,0.366537,0.348831,0.390408,0.429376,0.415089,0.421171,0.405894,0.399157,0.395518,0.391446
0.359019,0.359181,0.350874,0.361828,0.389475,0.375449,0.354894,0.315543,0.341409,0.399684,0.369616,0.390169,0.369829,0.401446,0.37012,0.30703,0.385386,0.453291,0.415177,0.40534,0.412717,0.41109,0.375959,0.364127,0.401968,0.43485,0.426316,0.421014,0.420601,0.398575,0.405687,0.401495
0.355426,0.368368,0.351733,0.364872,0.395963,0.378412,0.356113,0.331437,0.355495,0.404358,0.383015,0.409422,0.384086,0.415752,0.374734,0.313919,0.390915,0.457649,0.430639,0.421875,0.408796,0.418282,0.382318,0.36393,0.40511,0.445271,0.432922,0.432575,0.419848,0.397583,0.410632,0.421571
0.36512,0.376637,0.362611,0.37553,0.407327,0.385876,0.365242,0.333289,0.367672,0.411273,0.3949,0.423259,0.386223,0.430427,0.387876,0.324107,0.395195,0.462591,0.431782,0.412143,0.415021,0.425741,0.399614,0.371685,0.399261,0.43778,0.438241,0.428372,0.431965,0.418688,0.407746,0.413995
0.382291,0.372992,0.368745,0.370607,0.398616,0.394779,0.369944,0.336028,0.362725,0.426532,0.392775,0.410691,0.396061,0.418507,0.388529,0.335053,0.390092,0.472102,0.428844,0.426996,0.418093,0.433459,0.391483,0.373893,0.404546,0.453464,0.442315,0.434543,0.433125,0.414873,0.410167,0.426478
0.375965,0.371306,0.364659,0.375614,0.402902,0.388094,0.368785,0.339876,0.37087,0.423651,0.394258,0.415444,0.400949,0.412335,0.391433,0.338419,0.393908,0.460159,0.432507,0.416822,0.414862,0.428339,0.395781,0.370943,0.407985,0.450053,0.431966,0.432088,0.430215,0.415821,0.407055,0.416044
0.372757,0.372041,0.350353,0.380804,0.39963,0.390983,0.366548,0.344037,0.366219,0.413809,0.389948,0.411105,0.391975,0.410003,0.394406,0.339957,0.392664,0.453038,0.426039,0.415904,0.415682,0.423066,0.388527,0.369188,0.403752,0.436598,0.434118,0.445864,0.428913,0.407836,0.41135,0.408302
0.378987,0.377204,0.354778,0.367161,0.400285,0.394342,0.364242,0.343745,0.362033,0.410539,0.389361,0.405545,0.400651,0.403999,0.384291,0.341282,0.393445,0.458791,0.419994,0.404905,0.410632,0.413496,0.380925,0.365675,0.398106,0.437138,0.42977,0.430383,0.427752,0.405129,0.405918,0.403073
0.374946,0.370807,0.355698,0.371648,0.390804,0.395705,0.361993,0.343639,0.357968,0.400922,0.389095,0.401497,0.385721,0.398299,0.383986,0.349272,0.378532,0.452002,0.415582,0.406365,0.406186,0.410203,0.371372,0.358809,0.391954,0.42992,0.43206,0.423158,0.419449,0.398776,0.39615,0.396243
0.383962,0.364895,0.350682,0.372377,0.387326,0.375526,0.356719,0.342457,0.342633,0.401801,0.380291,0.390374,0.388505,0.391484,0.370558,0.353334,0.366209,0.433292,0.407936,0.39697,0.395678,0.397223,0.366178,0.346812,0.393903,0.423224,0.41368,0.416906,0.407879,0.397394,0.391257,0.37689
0.366469,0.366168,0.337492,0.357279,0.369633,0.381525,0.343587,0.331262,0.329502,0.383068,0.373037,0.379998,0.370376,0.382,0.368388,0.337171,0.366694,0.426668,0.400927,0.394047,0.383308,0.391667,0.354775,0.341642,0.38048,0.418155,0.408158,0.415426,0.408879,0.383158,0.386555,0.374231
0.355632,0.355259,0.319578,0.353794,0.35922,0.370977,0.333536,0.324076,0.325166,0.383418,0.360981,0.361724,0.366075,0.371007,0.354442,0.330349,0.348911,0.417337,0.398837,0.372882,0.373295,0.384348,0.349917,0.326919,0.386579,0.393541,0.390033,0.402846,0.385275,0.385205,0.371703,0.34888
0.357218,0.344965,0.331169,0.342493,0.362073,0.359752,0.334866,0.326744,0.310615,0.381971,0.359445,0.350043,0.37161,0.357149,0.353752,0.3259,0.323304,0.405571,0.369402,0.356063,0.370025,0.358901,0.334812,0.330793,0.357836,0.386762,0.375234,0.379245,0.386608,0.377177,0.332061,0.349864
0.377603,0.335115,0.31087,0.349533,0.349483,0.364271,0.325603,0.33585,0.308009,0.364032,0.359832,0.360415,0.390916,0.353536,0.347495,0.333548,0.330623,0.37914,0.36601,0.349025,0.343368,0.354736,0.330195,0.315022,0.332218,0.394095,0.402338,0.35626,0.371393,0.349079,0.349524,0.335967
0.372526,0.328937,0.318528,0.34482,0.354572,0.359784,0.324547,0.32576,0.324209,0.355415,0.361106,0.366882,0.379914,0.391941,0.357084,0.296657,0.359594,0.402669,0.369696,0.375141,0.379956,0.379311,0.346158,0.320298,0.355315,0.400482,0.40078,0.389712,0.386192,0.36722,0.360736,0.35082
0.349609,0.355141,0.356787,0.356504,0.358923,0.378251,0.344095,0.311647,0.317604,0.393259,0.35991,0.390977,0.353825,0.369331,0.365733,0.310058,0.363464,0.458408,0.412503,0.398956,0.414918,0.408389,0.3745,0.336432,0.394068,0.430427,0.422796,0.406852,0.405224,0.395008,0.37134,0.381157
0.370664,0.363457,0.380157,0.377882,0.389576,0.3964,0.37302,0.320707,0.363285,0.398714,0.378063,0.424898,0.385736,0.419953,0.391011,0.308543,0.380735,0.462602,0.428744,0.42072,0.436395,0.429296,0.387824,0.361872,0.410524,0.45453,0.439818,0.426022,0.440616,0.410393,0.418051,0.412144
0.391256,0.388099,0.39708,0.398998,0.415263,0.418237,0.387908,0.349853,0.371793,0.447121,0.406124,0.448316,0.416331,0.438757,0.411201,0.354287,0.405517,0.501951,0.484074,0.46711,0.443515,0.452535,0.422156,0.393509,0.431691,0.470226,0.473426,0.473411,0.460911,0.46046,0.4391,0.43307
0.395742,0.413898,0.423542,0.433367,0.45908,0.447668,0.412583,0.36925,0.412038,0.456075,0.446141,0.455378,0.448488,0.461277,0.417222,0.371511,0.452512,0.516796,0.494728,0.478702,0.482049,0.484242,0.425934,0.420956,0.45175,0.501836,0.502359,0.499999,0.488179,0.482463,0.466083,0.46298
0.436003,0.454758,0.431519,0.459426,0.484579,0.482373,0.439532,0.398729,0.432329,0.480309,0.462407,0.510754,0.474485,0.496672,0.448519,0.381214,0.462781,0.551464,0.509422,0.503456,0.499301,0.513671,0.453413,0.426851,0.478519,0.530173,0.534419,0.532239,0.509671,0.513948,0.488608,0.490502
0.458153,0.465521,0.456443,0.474092,0.51093,0.493268,0.46053,0.415101,0.449225,0.500315,0.479412,0.509834,0.48114,0.52498,0.484379,0.407429,0.486763,0.570084,0.533396,0.522133,0.509781,0.529124,0.472968,0.445688,0.512821,0.561036,0.540611,0.546807,0.523646,0.514565,0.512154,0.508287
0.470382,0.483734,0.480888,0.483402,0.520596,0.50841,0.469296,0.410442,0.456845,0.525701,0.498117,0.542361,0.514147,0.535217,0.494836,0.410351,0.484077,0.586665,0.541575,0.537817,0.534311,0.541099,0.489525,0.469534,0.514851,0.565213,0.552359,0.568286,0.544084,0.530572,0.526025,0.526265
0.486863,0.495517,0.49038,0.495924,0.546195,0.506224,0.482417,0.418797,0.477297,0.546378,0.507685,0.553871,0.52258,0.551062,0.508996,0.42621,0.503128,0.595613,0.555221,0.545472,0.538536,0.550641,0.498085,0.474384,0.516396,0.590992,0.571504,0.566536,0.55874,0.54509,0.535053,0.532412
0.485283,0.50212,0.485253,0.493314,0.540981,0.531827,0.492266,0.434557,0.494794,0.564204,0.519897,0.559148,0.532712,0.557032,0.521727,0.432478,0.509077,0.614319,0.56523,0.545761,0.544053,0.555745,0.503555,0.481155,0.522948,0.57935,0.577269,0.57485,0.556245,0.540989,0.529185,0.533249
0.493339,0.500686,0.487683,0.496143,0.529975,0.520282,0.489687,0.441619,0.491539,0.557142,0.520097,0.55681,0.524016,0.559889,0.525731,0.43927,0.506264,0.606212,0.560121,0.558149,0.551597,0.551971,0.499652,0.473536,0.521667,0.580146,0.573493,0.574577,0.563585,0.543986,0.541308,0.537878
0.486548,0.498394,0.47459,0.494856,0.533456,0.51525,0.484798,0.436676,0.484915,0.550954,0.519772,0.554609,0.523158,0.547748,0.513893,0.440458,0.500272,0.598057,0.554171,0.538489,0.53354,0.550886,0.492258,0.470981,0.524388,0.573709,0.566556,0.571694,0.559318,0.536321,0.526557,0.533083
0.468367,0.478282,0.458862,0.47631,0.490077,0.489891,0.463335,0.423457,0.467965,0.529012,0.501537,0.517237,0.498475,0.511047,0.481381,0.423827,0.495553,0.598686,0.548413,0.539316,0.532423,0.539634,0.494535,0.474998,0.517402,0.578355,0.566344,0.566799,0.55663,0.53166,0.522545,0.524998
0.455946,0.471705,0.442568,0.461222,0.477748,0.473127,0.45367,0.419785,0.45047,0.511855,0.485768,0.500702,0.48572,0.498334,0.470297,0.416896,0.496849,0.603974,0.550195,0.539524,0.527986,0.544491,0.488507,0.460686,0.518335,0.573874,0.564569,0.566636,0.562309,0.530508,0.523421,0.521479
