V05[1.2],V06[7.8],V08[6.9],V12[11.9],V16[6.0],V20[5.7],V24[5.5],V27[1.7],N05[1.8],N06[5.2],N08[6.5],N12[7.0],N16[9.0],N20[10.5],N24[16.7],N28[3.6],S06[1.4],S07[6.5],S09[8.1],S13[10.3],S17[19.0],S21[11.2],S25[12.2],S29[4.9]
0.208473,0.215471,0.20741,0.171676,0.203684,0.204522,0.202591,0.198814,0.211939,0.223008,0.216618,0.208808,0.205156,0.220779,0.23637,0.20419,0.229759,0.273317,0.247902,0.269252,0.253254,0.257642,0.235073,0.231199
0.235604,0.22327,0.23613,0.232562,0.223577,0.222764,0.203343,0.229834,0.217709,0.227676,0.225605,0.222617,0.219289,0.222619,0.245444,0.19731,0.240872,0.271198,0.259101,0.267109,0.2555,0.246817,0.252923,0.236297
0.25251,0.21674,0.237332,0.213691,0.232897,0.226563,0.192049,0.192862,0.229066,0.242102,0.227869,0.251734,0.211744,0.244622,0.259734,0.19113,0.255933,0.274313,0.266413,0.255601,0.257006,0.25777,0.262453,0.228034
0.216833,0.233779,0.250833,0.211111,0.240031,0.227508,0.228945,0.212209,0.227018,0.24958,0.221933,0.25435,0.219231,0.230893,0.238773,0.205261,0.256415,0.270407,0.264129,0.261106,0.26449,0.285704,0.245313,0.253432
0.244725,0.22532,0.247498,0.219863,0.234377,0.234445,0.215477,0.198867,0.244109,0.259377,0.23418,0.245614,0.221452,0.232142,0.230478,0.203567,0.250497,0.277464,0.276398,0.279023,0.265925,0.280548,0.271601,0.255732
0.229614,0.230367,0.244098,0.212179,0.238583,0.234217,0.215734,0.204555,0.237941,0.242244,0.238347,0.259099,0.231426,0.230447,0.233225,0.204826,0.25026,0.284874,0.269434,0.280233,0.273662,0.262551,0.26399,0.24608
0.225698,0.227347,0.235908,0.212437,0.228582,0.235572,0.214997,0.211162,0.240518,0.251588,0.238211,0.246944,0.224819,0.228043,0.237294,0.200189,0.267083,0.289043,0.256002,0.269629,0.275572,0.2684,0.262994,0.249195
0.233754,0.231436,0.22605,0.219898,0.234098,0.229874,0.22397,0.210706,0.220036,0.246602,0.231337,0.23494,0.228176,0.242229,0.24351,0.198224,0.258415,0.280077,0.275787,0.268597,0.273784,0.268188,0.268572,0.24363
0.223345,0.222738,0.226717,0.207698,0.227677,0.216156,0.210199,0.203657,0.232642,0.242585,0.234629,0.223841,0.220251,0.224157,0.24346,0.201485,0.249319,0.279408,0.266478,0.277014,0.267295,0.267202,0.256048,0.242455
0.223767,0.231803,0.225056,0.203431,0.22624,0.224692,0.2174,0.214292,0.22924,0.240616,0.230901,0.242054,0.220497,0.231489,0.239339,0.215859,0.240016,0.274331,0.272801,0.265067,0.25461,0.264262,0.252173,0.246598
